n,Resultado,Tempo_Relogio(ms),Tempo_CPU_Usuario(ms),Tempo_CPU_Sistema(ms)
860,Iteracao 860,0.001861,0.0018,0.0017
861,Iteracao 861,0.042842,0.0407,0.0411
862,Iteracao 862,0.002764,0.0025,0.0024
863,Iteracao 863,0.010702,0.01,0.01
864,Iteracao 864,0.00498,0.0046,0.0046
865,Iteracao 865,0.002797,0.0026,0.0026
866,Iteracao 866,0.002796,0.0026,0.0026
867,Iteracao 867,0.00512,0.0048,0.0047
868,Iteracao 868,0.002742,0.0025,0.0025
869,Iteracao 869,0.002743,0.0025,0.0025
870,Iteracao 870,0.003077,0.0028,0.0028
871,Iteracao 871,0.004894,0.0046,0.0046
872,Iteracao 872,0.00199,0.0019,0.0018
873,Iteracao 873,0.002022,0.0019,0.0018
874,Iteracao 874,0.005561,0.0051,0.0051
875,Iteracao 875,0.007852,0.0073,0.0073
876,Iteracao 876,0.002646,0.0025,0.0024
877,Iteracao 877,0.00199,0.0018,0.0018
878,Iteracao 878,0.001753,0.0016,0.0015
879,Iteracao 879,0.004765,0.0044,0.0044
880,Iteracao 880,0.002592,0.0024,0.0023
881,Iteracao 881,0.005701,0.0053,0.0053
882,Iteracao 882,0.002129,0.002,0.002
883,Iteracao 883,0.002313,0.0022,0.0021
884,Iteracao 884,0.005217,0.0048,0.0049
885,Iteracao 885,0.006131,0.0057,0.0057
886,Iteracao 886,0.039765,0.0377,0.0381
887,Iteracao 887,0.002582,0.0024,0.0023
888,Iteracao 888,0.002463,0.0023,0.0023
889,Iteracao 889,0.042154,0.0399,0.0403
890,Iteracao 890,0.002527,0.0023,0.0023
891,Iteracao 891,0.006582,0.0061,0.0061
892,Iteracao 892,0.003077,0.0028,0.0028
893,Iteracao 893,0.002097,0.002,0.0019
894,Iteracao 894,0.00313,0.0029,0.0028
895,Iteracao 895,0.003635,0.0033,0.0033
896,Iteracao 896,0.001936,0.0018,0.0018
897,Iteracao 897,0.002129,0.002,0.002
898,Iteracao 898,0.002657,0.0024,0.0024
899,Iteracao 899,0.001851,0.0017,0.0016
900,Iteracao 900,0.002097,0.0019,0.0019
901,Iteracao 901,0.003398,0.0031,0.0031
902,Iteracao 902,0.002571,0.0024,0.0023
903,Iteracao 903,0.001872,0.0017,0.0016
904,Iteracao 904,0.002969,0.0027,0.0027
905,Iteracao 905,0.001915,0.0018,0.0018
906,Iteracao 906,0.002851,0.0027,0.0026
907,Iteracao 907,0.002603,0.0024,0.0023
908,Iteracao 908,0.007508,0.0063,0.0055
