rotulo fase id_evento id_estrutura tempo endereco tamanho
L 0 442 0 0.247488735 88 32
L 0 443 0 0.247490931 0 32
L 0 444 0 0.247492589 1 32
L 0 445 0 0.247493439 2 32
L 0 446 0 0.247495231 3 32
L 0 447 0 0.247543268 89 32
L 0 448 0 0.247544843 0 32
L 0 449 0 0.247546284 1 32
L 0 450 0 0.247547237 2 32
L 0 451 0 0.247548833 3 32
L 0 452 0 0.247602599 90 32
L 0 453 0 0.247604744 0 32
L 0 454 0 0.247607687 1 32
L 0 455 0 0.247608941 2 32
L 0 456 0 0.247610443 3 32
L 0 457 0 0.248005152 91 32
L 0 458 0 0.248176938 0 32
L 0 459 0 0.248181725 1 32
L 0 460 0 0.248182689 2 32
L 0 461 0 0.248184243 3 32
L 0 462 0 0.248360972 92 32
L 0 463 0 0.248363780 0 32
L 0 464 0 0.248365822 1 32
L 0 465 0 0.248367987 2 32
L 0 466 0 0.248369189 3 32
L 0 467 0 0.248579708 93 32
L 0 468 0 0.248582588 0 32
L 0 469 0 0.248586557 1 32
L 0 470 0 0.248587448 2 32
L 0 471 0 0.248589116 3 32
L 0 472 0 0.248705333 94 32
L 0 473 0 0.248711975 0 32
L 0 474 0 0.248715011 1 32
L 0 475 0 0.248715861 2 32
L 0 476 0 0.248716824 3 32
L 0 477 0 0.248969640 95 32
L 0 478 0 0.248972209 0 32
L 0 479 0 0.248979525 1 32
L 0 480 0 0.248981690 2 32
L 0 481 0 0.248983348 3 32
L 0 482 0 0.249145654 96 32
L 0 483 0 0.249148969 0 32
L 0 484 0 0.249151311 1 32
L 0 485 0 0.249152296 2 32
L 0 486 0 0.249154834 3 32
L 0 487 0 0.249312052 97 32
L 0 488 0 0.249315938 0 32
L 0 489 0 0.249317845 1 32
L 0 490 0 0.249318570 2 32
L 0 491 0 0.249319730 3 32
L 0 492 0 0.249467115 98 32
L 0 493 0 0.249469654 0 32
L 0 494 0 0.249472762 1 32
L 0 495 0 0.249473850 2 32
L 0 496 0 0.249475757 3 32
L 0 497 0 0.249563624 99 32
L 0 498 0 0.249565417 0 32
L 0 499 0 0.249567758 1 32
L 0 500 0 0.249568650 2 32
L 0 501 0 0.249569955 3 32
L 0 502 0 0.249647844 100 32
L 0 503 0 0.249649637 0 32
L 0 504 0 0.249651471 1 32
L 0 505 0 0.249652206 2 32
L 0 506 0 0.249652963 3 32
L 0 507 0 0.287048006 101 32
L 0 508 0 0.287058824 0 32
L 0 509 0 0.287063631 1 32
L 0 510 0 0.287064481 2 32
L 0 511 0 0.287065901 3 32
L 0 512 0 0.287102343 102 32
L 0 513 0 0.287103006 0 32
L 0 514 0 0.287104736 1 32
L 0 515 0 0.287105493 2 32
L 0 516 0 0.287106664 3 32
L 0 517 0 0.287243749 103 32
L 0 518 0 0.287245593 0 32
L 0 519 0 0.287247500 1 32
L 0 520 0 0.287248443 2 32
L 0 521 0 0.287249541 3 32
L 0 522 0 0.287290470 104 32
L 0 523 0 0.287291112 0 32
L 0 524 0 0.287292449 1 32
L 0 525 0 0.287293153 2 32
L 0 526 0 0.287294728 3 32
L 0 527 0 0.287423825 105 32
L 0 528 0 0.287427845 0 32
L 0 529 0 0.287435088 1 32
L 0 530 0 0.287436145 2 32
L 0 531 0 0.287437254 3 32
L 0 532 0 0.287491362 106 32
L 0 533 0 0.287493165 0 32
L 0 534 0 0.287494761 1 32
L 0 535 0 0.287495735 2 32
L 0 536 0 0.287496844 3 32
L 0 537 0 0.287647078 107 32
L 0 538 0 0.287649586 0 32
L 0 539 0 0.287651544 1 32
L 0 540 0 0.287652404 2 32
L 0 541 0 0.287654238 3 32
L 0 542 0 0.287736520 108 32
L 0 543 0 0.287738676 0 32
L 0 544 0 0.287741048 1 32
L 0 545 0 0.287741940 2 32
L 0 546 0 0.287743743 3 32
L 0 547 0 0.287947070 109 32
L 0 548 0 0.287949889 0 32
L 0 549 0 0.287953878 1 32
L 0 550 0 0.287954955 2 32
L 0 551 0 0.287956541 3 32
L 0 552 0 0.288120546 110 32
L 0 553 0 0.288124556 0 32
L 0 554 0 0.288127136 1 32
L 0 555 0 0.288128172 2 32
L 0 556 0 0.288130949 3 32
L 0 557 0 0.288289038 111 32
L 0 558 0 0.288291970 0 32
L 0 559 0 0.288294135 1 32
L 0 560 0 0.288294913 2 32
L 0 561 0 0.288295907 3 32
L 0 562 0 0.288498116 112 32
L 0 563 0 0.288501214 0 32
L 0 564 0 0.288503463 1 32
L 0 565 0 0.288504312 2 32
L 0 566 0 0.288506975 3 32
L 0 567 0 0.288612685 113 32
L 0 568 0 0.288615535 0 32
L 0 569 0 0.288617773 1 32
L 0 570 0 0.288618654 2 32
L 0 571 0 0.288619835 3 32
L 0 572 0 0.288786088 114 32
L 0 573 0 0.288788617 0 32
L 0 574 0 0.288791083 1 32
L 0 575 0 0.288792451 2 32
L 0 576 0 0.288793766 3 32
L 0 577 0 0.288951731 115 32
L 0 578 0 0.288954197 0 32
L 0 579 0 0.288956186 1 32
L 0 580 0 0.288957212 2 32
L 0 581 0 0.288958694 3 32
L 0 582 0 0.289161410 116 32
L 0 583 0 0.289164270 0 32
L 0 584 0 0.289166415 1 32
L 0 585 0 0.289167296 2 32
L 0 586 0 0.289168487 3 32
L 0 587 0 0.289422753 117 32
L 0 588 0 0.289428815 0 32
L 0 589 0 0.289431581 1 32
L 0 590 0 0.289432638 2 32
L 0 591 0 0.289434286 3 32
L 0 592 0 0.289632256 118 32
L 0 593 0 0.289635209 0 32
L 0 594 0 0.289637116 1 32
L 0 595 0 0.289638639 2 32
L 0 596 0 0.289640359 3 32
L 0 597 0 0.289789837 119 32
L 0 598 0 0.289793060 0 32
L 0 599 0 0.289795453 1 32
L 0 600 0 0.289796479 2 32
L 0 601 0 0.289797878 3 32
L 0 602 0 0.319235570 120 32
L 0 603 0 0.319252542 0 32
L 0 604 0 0.319263370 1 32
L 0 605 0 0.319264894 2 32
L 0 606 0 0.319266427 3 32
